discrete,discrete,continuous,continuous,discrete
1,1,43.0833333333,41,3
1,1,30,31,3
1,1,-4.66666666667,143.333333333,3
1,1,-5.25,145.583333333,3
1,3,-12.3333333333,-67.75,3
1,1,-9,-67,3
1,1,42,46.8333333333,3
1,1,40,45,3
1,6,-3.46666666667,143.166666667,3
1,7,-5.5,138.5,3
1,6,-17,-69,3
3,7,11.6666666667,16,1
2,7,22.5,92.25,1
2,1,18,36,3
1,1,3.25,98.25,1
1,7,33,-5,3
1,7,53,58,2
1,1,36.5,74.5,2
1,2,33.5,-116.25,2
1,1,5.5,-56,3
1,7,32.3333333333,-115,3
1,1,13.45,144.75,1
1,2,67,-173,1
1,1,55.5,47.5,3
3,1,17.3333333333,-95.9166666667,1
1,2,33.5,-101.5,3
1,7,-7,-45,1
1,1,43.5,-124.166666667,3
1,5,54,-110,3
1,5,-13.5,-65.5,3
1,2,13,-16.25,1
1,7,-4.33333333333,138.833333333,2
1,2,-21,167.25,1
1,1,52,0,2
1,1,3,-77,3
1,1,56,125,1
1,1,-17.8333333333,178,1
1,2,62,25,2
1,1,48,2,3
1,5,42,44,3
1,1,52,10,2
1,2,-18.3333333333,126.333333333,1
3,1,5,-8,1
1,5,39,22,3
1,7,64,-51,2
1,7,-26,-56,3
1,1,25,77,3
1,1,-1,-59,3
1,2,47,20,3
1,1,42.1666666667,46.25,3
1,6,0,106,1
1,2,43.1666666667,45.0833333333,3
2,1,-4,35.5,1
1,2,15.6666666667,-91.6666666667,3
1,2,-17.05,139.5,1
2,1,-6.5,143.833333333,3
1,2,14.25,-0.916666666667,2
1,1,47,105,2
1,7,12.5,105,2
1,7,25.5,92,1
1,1,-8.5,151.083333333,3
2,7,21,102,1
2,1,14.5,37,1
3,1,34.8333333333,-85.1666666667,3
1,6,-5.16666666667,144.333333333,2
2,1,41.6666666667,-123,3
2,1,10.5,30,1
1,6,49.5,-116,3
1,1,36,-117.5,3
2,2,2.16666666667,33,1
2,2,57,24,3
1,2,-9.08333333333,159.2,1
1,1,41.6666666667,47.8333333333,3
1,1,33.3333333333,-117.166666667,1
2,6,-12,22,1
1,1,48.3333333333,-124.666666667,3
1,6,-20,47,1
1,1,-40,176,1
1,3,-38,-72,1
1,7,33.1666666667,-113.166666667,3
1,6,-11.9166666667,133.5,1
1,2,-1.33333333333,132.5,3
3,1,34,110,2
1,2,-20.8333333333,116.5,1
1,1,37.5,-120,2
1,1,23,84.6666666667,2
1,6,-14.6666666667,133.5,1
2,1,36.1666666667,-108,3
2,1,4.5,-54.5,3
1,1,46,-116,3
1,1,-31.75,145.5,1
2,2,53.3333333333,142,1
1,2,70,76,1
1,6,-13.75,135.666666667,1
2,6,43,-75.6666666667,3
1,6,22.5,120.833333333,1
1,5,-6,-64,3
1,2,-26,130,1
1,5,-16.5,168.25,1
2,1,-7,-62,3
1,7,32,54,3
1,1,33,67,2
2,1,45,-67,3
1,1,11.75,-83.75,1
1,6,-27.1166666667,-109.366666667,1
1,1,56,38,3
1,7,14.8333333333,108,1
1,1,-7.5,-75,3
2,1,67,-125,3
1,7,3,103,1
1,6,4.5,-64.6666666667,3
1,1,40,-4,3
1,6,49.6666666667,-123.166666667,3
3,2,11.5,-5.58333333333,1
1,6,-6.5,39,1
1,6,0,127.5,1
1,6,-13.5,-68,3
1,6,15,121,1
1,7,31,-5,3
1,2,-48,-68,3
1,6,-11.5,131,1
1,7,-11.9166666667,-53.5833333333,3
1,7,52.5,-129,3
1,6,-5.5,123.5,1
1,1,39,35,3
1,1,-16.3333333333,126,1
1,7,-2.33333333333,-46.5,2
1,1,-4.83333333333,145.166666667,3
1,1,-18.6666666667,135.75,1
1,7,-11.3333333333,-65,3
1,2,-22.5,-62.5833333333,3
1,1,33.3333333333,-97.3333333333,3
1,6,9.33333333333,-61.6666666667,3
1,6,-15.5,131,1
2,2,27.5,-110.25,3
1,1,-17,145.75,1
1,2,-4.66666666667,143.55,1
1,1,65.75,150.833333333,1
1,1,35.75,-86.75,3
1,6,17,-93.25,2
1,2,35.0833333333,-108.833333333,3
