continuous,continuous,continuous
2,1,1,abi
5,4,1,abk
1,2,1,abm
1,1,1,ach
2,1,1,acm
5,1,1,aco
1,2,1,adk
2,2,1,adz
3,3,1,aea
4,4,1,aeg
3,4,1,agh
4,3,1,aht
3,4,2,aik
1,1,1,ain
3,4,1,aiz
3,2,1,akn
1,4,1,akw
2,2,1,ala
3,4,3,alb
3,4,1,ald
3,1,1,alw
1,1,1,amc
2,2,1,ame
4,2,1,amh
3,4,1,amo
5,1,1,amp
3,3,1,amu
3,1,1,amz
3,4,1,ana
4,4,1,anc
5,2,1,ani
1,1,1,ant
1,3,1,ao
1,1,1,api
1,1,1,apu
1,1,1,arb
5,4,1,arc
4,3,1,arm
2,2,1,arp
1,1,1,asm
3,3,1,ata
5,4,1,ava
4,4,1,awn
1,3,1,awp
4,1,1,aym
3,4,2,aze
4,2,1,bag
2,3,1,bai
4,2,1,baj
3,4,1,bam
3,4,1,baw
3,4,1,bbf
4,1,1,bco
2,3,1,bee
3,2,1,bej
4,2,1,ben
3,1,1,ber
3,4,1,bet
3,4,1,bir
2,4,1,bis
2,4,1,bki
2,2,1,bkr
4,4,1,bma
1,1,1,bng
1,2,1,bno
2,4,1,bod
3,1,1,bra
2,4,1,brb
2,1,1,brd
3,4,2,bre
3,4,1,brh
2,4,1,bri
4,4,1,brm
1,2,1,brr
3,2,1,brw
4,4,2,bsk
3,2,1,bsq
2,2,1,bto
2,1,1,bua
3,4,1,bul
5,4,1,bur
1,1,1,byu
1,1,1,cac
3,2,1,cad
3,1,1,cah
3,2,1,cam
2,2,1,car
2,1,1,cax
3,2,1,cay
2,2,1,cck
3,1,1,ccp
3,2,1,cha
1,1,1,che
2,1,1,chk
4,1,1,chl
5,3,1,chp
4,3,2,chq
3,1,1,chu
3,4,2,chv
3,1,1,chw
3,4,1,cil
3,2,1,cle
1,1,1,cmn
1,1,1,cnl
3,1,2,cnt
4,4,1,cof
5,2,1,coo
1,1,1,cre
2,2,1,cso
3,4,1,cti
3,4,1,ctl
1,2,1,cub
1,2,1,cve
2,2,1,cyv
1,1,1,dad
1,2,1,dag
5,4,1,dah
3,4,1,dan
4,2,1,dar
3,2,1,ddf
1,2,1,der
5,2,1,det
3,4,1,dgb
3,4,3,dgr
3,3,1,die
3,2,1,din
3,2,1,dio
3,1,1,diy
3,4,1,diz
3,1,1,djp
