discrete,discrete,continuous,continuous,discrete
1,6,-15.1666666667,134.25,,alw
1,1,42.5,46.5,,ava
1,2,24,90,,ben
1,6,48,-3,,bre
1,6,2.5,99,,bto
1,2,-12.25,134.583333333,,bua
1,1,41.75,2,,ctl
2,1,1.33333333333,-70.5,,cub
1,1,32.6666666667,-116.166666667,,die
1,2,-28,139,,diy
1,2,-17.8333333333,145.583333333,,dyi
2,1,-3.83333333333,135.5,,eka
1,2,-17.0833333333,137.166666667,,grr
1,6,19.5833333333,-155.5,,haw
2,1,36,-110,,hop
1,1,22.0833333333,-99.3333333333,,htc
1,2,-20.4166666667,166.583333333,,iaa
1,7,-3,133.5,,irr
1,6,-13,-76,,jaq
1,1,-7,111,,jav
2,7,35.5,72.5,,kal
3,1,9.83333333333,15.0833333333,,ker
1,2,-21,139.5,,kgu
1,1,42.5,-121.5,,klm
1,2,17.5,81.3333333333,,koy
1,6,-8.95,161,,kwa
1,1,51,-127,,kwk
1,2,-16,145,,kya
1,6,-19.45,169.25,,len
1,3,-17.1666666667,145,,mbb
1,2,-13.6666666667,130,,mku
1,1,-13.4166666667,130.416666667,,mlk
1,1,40,-120.666666667,,mne
1,7,-7.83333333333,140.166666667,,mrd
2,1,6.5,33.5,,mrl
1,1,28,85,,nep
1,6,19.6666666667,-99,,nht
3,7,-14,-59.5,,nmb
2,1,61,8,,nor
1,6,52,20,,pol
1,2,19.5,-101.666666667,,pur
1,1,46,25,,rom
1,1,-8.75,146.583333333,,ror
1,1,26,69,,sdh
1,7,3.5,-62.8333333333,,shi
1,1,42.5,-77.5,,snc
1,2,-2.71666666667,150.8,,tgk
2,1,30,91,,tib
1,1,14.6666666667,-87,,tol
1,5,6.75,124.166666667,,try
1,7,40.6666666667,66.5,,uzn
2,7,-5.83333333333,144.716666667,,wah
1,2,-1,-76.5,,wao
1,1,40.8333333333,-124.166666667,,wiy
1,1,-8.25,124.833333333,,woi
1,1,40.5,-122,,yan
1,1,9.58333333333,138.166666667,,yap
1,2,-11.3666666667,154.166666667,,yel
1,6,-16.4166666667,137.166666667,,yny
2,6,-30,30,,zul
